ICO,Token,Softcap,Hardcap,Start,End,Quarterstart,Duration of offering,Country,Category,ERC20,Rating,Number of experts,Bonus,Policy,Number of team members,Distributed in ICO,US restriction,Restricted countries,Accepted fiat,Major cryptocurrencies,Presale,Amount raised
russianminercoin,RMC,,100000000,8/28/2017,9/27/2019,2017q3,760,Russia,"Cryptocurrency,BigData",0,2.4,1,0,0,7,,,,1,1,1,43000000
remecoin,REME,,141270000,3/15/2018,6/14/2018,2018q1,91,Liechtenstein,"Internet,Businessservices",1,3.2,1,0,kyc,21,,1," China, USA",1,1,0,9558576
emiba,EMB,15000000,21000000,6/1/2018,12/31/2019,2018q2,578,Russia,Manufacturing,1,2.6,2,0,kyc,9,0.58,,,1,1,0,7012829
zeon-network,ZEON,2000000,15000000,6/8/2018,10/8/2018,2018q2,122,Estonia,"Platform,Investment,Cryptocurrency,Banking,SmartContract",1,3.8,1,0,0,7,0.6,1, USA,1,1,1,700000
worldopo,WPT,,,8/17/2018,3/2/2019,2018q3,197,Liechtenstein,"VirtualReality,SmartContract,Entertainment,ArtificialIntelligence",1,4.5,38,1,kyc&whitelist,12,0.75,0,North Korea,1,1,0,3392000
htfx,HTF,282000,383000,4/23/2018,7/4/2018,2018q2,72,Belize,,0,2,1,0,0,9,0.1359,1," USA, UK, Japan, Singapore, China",1,1,1,223869
must,MUST,6700000,14000000,11/1/2018,12/31/2019,2018q4,425,Estonia,"Platform,Legal,Infrastructure",0,3.8,0,1,kyc&whitelist,14,0.7,,,1,1,1,4760000
crowd-machine,CMCT,,100000000,5/1/2018,6/1/2019,2018q2,396,Cayman Islands,"Platform,Cryptocurrency,Communication,Businessservices,Software",1,3.8,27,0,kyc&whitelist,21,0.8,0," North Korea, Cuba, Syria, Sudan, Iran",0,1,0,23606000
dragonglass,DGS,,28326300,2/16/2018,3/16/2018,2018q1,28,Estonia,"Cryptocurrency,Entertainment,Software",1,3.4,10,0,0,4,1,1, USA,0,1,0,1000000
titanium-blockchain-infrastructure-services,BAR,,35000000,12/31/2017,2/28/2018,2017q4,59,USA,,0,3.8,9,1,0,14,0.6,0, Turkey,0,1,1,35000000
taucoin,TAU,,,10/18/2018,10/18/2019,2018q4,365,Cyprus,Cryptocurrency,0,2.1,0,0,0,4,,1," USA, China",0,0,0,10000000
bulleon,BUL,,114357673.8,1/1/2018,12/31/2018,2018q1,364,Estonia,"Investment,Cryptocurrency",1,4.3,15,1,kyc,12,0.952,0, None,0,1,0,75000
laocon,LC,10000000,100000000,10/1/2018,12/31/2018,2018q4,91,Singapore,"BigData,ArtificialIntelligence,Businessservices,Communication,Cryptocurrency,Electronics,Infrastructure,Internet,Other",1,2.2,0,0,kyc,5,0.4,,,0,1,0,500
kinesis,KVT,15,300,9/10/2018,3/17/2019,2018q3,188,Cayman Islands,"Cryptocurrency,Banking,Investment,Platform",1,4.4,6,0,kyc,27,0.7,,,1,1,0,59278000
larecoin-lare,LARE,2000000,50000000,6/4/2018,1/4/2019,2018q2,214,USA,Education,1,2.2,2,0,kyc,,0.48,,,1,1,0,9500012
eos,EOS,,,6/25/2017,6/4/2018,2017q2,344,USA,Cryptocurrency,1,4.1,9,0,0,4,0.9,0, None,0,1,0,4197956135
treeec-money,TRM,10000000,,7/12/2018,6/29/2019,2018q3,352,Germany,"Cryptocurrency,Businessservices,SmartContract",0,2.2,0,0,kyc,11,1,1," USA, China, Syria, South Korea, North Korea, Cuba, Iran, Krim",0,0,0,20950828
mold,MOLD,,2000000000,10/1/2017,9/1/2018,2017q4,335,Singapore,Entertainment,0,2.3,0,0,0,7,0.8,,,0,1,0,2825390
togacoin,TGA,500000,120000000,6/21/2018,5/1/2019,2018q2,314,UK,"Platform,Tourism,Cryptocurrency",1,2.9,0,1,0,11,0.91,,,0,1,1,305120
kimex,KMX,1102450,6614700,9/15/2018,9/30/2018,2018q3,15,Hong Kong,"Investment,Platform",1,3.1,1,1,kyc&whitelist,6,0.6,1," USA, China",0,1,0,27872
udap,UPX,,,6/1/2018,3/31/2019,2018q2,303,Singapore,Platform,1,3.3,0,0,kyc&whitelist,6,0.4,1," USA, China",0,1,1,2994000
mit-ra,MTA,,4000000,8/1/2018,9/30/2018,2018q3,60,United Arab Emirates,"ArtificialIntelligence,BigData,Cryptocurrency,Energy,Health,Software",1,2.5,1,1,0,8,0.8,,,0,1,0,3675000
pallium,PLMT,12622500,18933750,8/1/2018,5/1/2019,2018q3,273,Russia,"ArtificialIntelligence,Infrastructure,Software",1,2.6,0,0,whitelist,8,0.88,1, USA,0,0,0,49000
cultural-places,CC,2455800,23330100,3/5/2018,12/31/2018,2018q1,301,Austria,"Art,Cryptocurrency,Software,Tourism",1,3.6,10,1,whitelist,37,0.6,1, USA,0,1,1,7074037
lifetask,TASK,4000000,35000000,1/15/2019,11/1/2019,2019q1,290,Malta,"Communication,Platform",1,3.4,0,1,kyc,25,0.6,1, USA,1,1,0,3953123
guarium,GUAR,961320,36049500,7/16/2018,4/30/2019,2018q3,288,UK,"Businessservices,Cryptocurrency,Investment,Platform,Retail",1,3.6,1,1,whitelist,12,0.4,,,1,1,1,5650922
mcv-cap,MCV,3000000,106600000,6/21/2018,3/30/2019,2018q2,282,Austria,"Cryptocurrency,Banking,SmartContract",1,2.8,0,1,kyc,12,0.35,1," USA, China, Hong Kong",1,1,1,10667263
roc2,ROC2,,55000000,3/1/2019,12/1/2019,2019q1,275,Estonia,Cryptocurrency,1,2.6,2,0,0,16,,,,0,1,0,1800000
cargocoin-just-priority-listing,CargoCoin,5000000,55000000,4/1/2018,12/31/2018,2018q2,274,UK,"Investment,Infrastructure,Energy,Cryptocurrency,Businessservices,BigData,ArtificialIntelligence,Manufacturing,Other,Platform,Retail,SmartContract",1,4,9,1,kyc,15,0.65,1, USA,1,1,0,5000000
medoctor,MTEL,3000000,50000000,11/1/2018,7/31/2019,2018q4,272,Switzerland,Health,1,3.5,1,1,0,2,0.581,1, USA,0,1,1,18000000
ponder,PON,1500000,12000000,7/1/2018,3/28/2019,2018q3,270,USA,"Businessservices,Communication,Platform,Software",1,3.9,12,1,kyc,17,0.6,0, KYC based,0,1,0,3500000
concertvr,CVT Token,2500000,17546100,4/15/2018,12/31/2018,2018q2,260,Germany,Entertainment,1,4.1,4,0,kyc&whitelist,5,0.55,1," Ethiopia, Iraq, Serbia, Sri Lanka, Syria, Trinidad and Tobago, Tunisia, Vanuatu, Yemen, China, USA",0,1,1,2621145
creditcoin,CCOIN,258140,20000000,1/14/2019,9/30/2019,2019q1,259,USA,"Cryptocurrency,Platform,Retail",1,4.3,2,1,kyc,10,0.7,,,0,1,0,2000000
gig9,9Coin,1740120,21461480,6/1/2018,2/15/2019,2018q2,259,UK,"Businessservices,Platform,BigData,Retail,SmartContract",0,3,4,0,kyc&whitelist,16,,0, None,0,0,0,340000
coal-industry-coin,CIC,,,12/31/2018,9/8/2019,2018q4,251,UK,"Banking,Businessservices,Communication,Cryptocurrency,Investment,Platform",1,3.7,0,1,0,,0.8,0, None,0,1,0,37213381
nodvix,NDVX,63355,253420,11/22/2018,7/30/2019,2018q4,250,Russia,"Media,Cryptocurrency,Platform",1,3.4,3,1,whitelist,7,0.75,,,0,1,1,150040
riptide-coin,RIPT,,66056683,10/1/2017,6/4/2018,2017q4,246,USA,Cryptocurrency,1,2.4,0,0,0,6,,,,0,0,0,5980
synthestech2,STT2,,,3/1/2019,11/1/2019,2019q1,245,Russia,"Energy,Manufacturing",1,2.4,1,1,0,4,0.825,,,1,1,0,1004000
phoneum,PHM,1000000,20000000,7/30/2018,3/31/2019,2018q3,244,British Virgin Islands,"Entertainment,Cryptocurrency,Platform",1,2.8,19,1,kyc,13,0.12,1," USA, China, Canada, Taiwan",0,1,1,2400000
coupon-chain,CCT,4000000,24000000,8/1/2018,3/31/2019,2018q3,242,Hong Kong,"Businessservices,Media,Platform,Retail,Software",1,4,0,1,kyc,9,0.3,1," USA, China",0,1,0,2000000
photochain,PHT,165723285,180000000,1/8/2018,9/7/2018,2018q1,242,Estonia,"Art,Media,Platform",1,4.3,28,1,kyc&whitelist,13,0.79,1, USA,0,1,0,5000000
pvpchain,PVP,,,1/1/2019,8/31/2019,2019q1,242,Singapore,"Platform,Other,Businessservices,BigData,Sports",0,3.6,1,0,kyc,9,0.3,,,1,1,1,26674000
bit-team-market-place,BTT,,62000000,6/1/2018,1/29/2019,2018q2,242,Russia,"Platform,Cryptocurrency",1,2.7,0,1,0,6,0.75,,,0,1,1,17335000
socialgood,SG,,500000000,4/3/2019,11/30/2019,2019q2,241,Japan,"Platform,Cryptocurrency,ArtificialIntelligence",1,4.1,14,0,kyc,9,0.78,0, China,1,1,1,30000000
lipchain,LIPS,3000000,20000000,3/21/2018,11/15/2018,2018q1,239,Portugal,Sports,1,3.7,2,0,0,12,0.21,0, None,0,1,0,6579738
metatip,META,,,12/5/2017,8/1/2018,2017q4,239,USA,"BigData,Businessservices,Cryptocurrency,Investment",0,2,1,0,0,,,,,0,0,0,10492100
pixelbit,PXB,,,6/11/2019,1/31/2020,2019q2,234,,"Casino&Gambling,Platform",1,2.6,1,0,0,5,0.3,,,0,1,1,678609
alive-casino,AL Token,1000000,6000000,8/7/2018,3/27/2019,2018q3,232,Costa Rica,"Entertainment,Casino&Gambling",1,3.4,2,0,kyc&whitelist,8,0.7,1," China, USA",0,1,0,162000
idealcoin,IDL,3000000,40932971,8/1/2018,3/18/2019,2018q3,229,Mexico,Platform,1,3.5,0,1,kyc,9,0.5891,,,0,1,0,1900000
echarge-work,ECHG,,123460000,4/15/2018,11/30/2018,2018q2,229,Switzerland,"Energy,Electronics,Realestate,Infrastructure",1,3.3,9,1,kyc,12,0.5,1," USA, China, Singapore",1,1,0,40000000
bitcanna,BCNA,3000000,20000000,11/15/2018,6/30/2019,2018q4,227,Netherlands,Cryptocurrency,0,4.1,5,1,kyc&whitelist,19,0.6,1," Canada, DPRK, Ethiopia, Iran, Iraq, Serbia, Sri Lanka, Syria, Trinidad and Tobago, Tunisia, United States of America, Vanuatu, Yemen",1,1,0,16000000
the-sun-exchange,SUNEX,5400000,160000000,5/21/2018,12/31/2018,2018q2,224,South Africa,Energy,0,4,1,1,kyc,9,0.5,1, USA,1,1,0,1068205
sweetbridge,SWC,,65100695,5/21/2018,12/31/2018,2018q2,224,Gibraltar,"Banking,Businessservices,Cryptocurrency,Infrastructure,Legal,Manufacturing,Platform,Retail,SmartContract,Software",1,2.6,3,0,kyc&whitelist,12,0.65,1, USA,1,1,0,17200000
mediconnect,MEDI,,10000000,2/20/2019,9/30/2019,2019q1,222,UK,Health,0,2.6,1,0,whitelist,4,0.67,,,0,1,0,846984
akm-global,AKM,2019782,50000000,9/30/2017,5/10/2018,2017q3,222,Germany,"Retail,Other",0,2.5,1,1,0,6,,,,0,1,0,517200
mediex,MDX,1500000,6000000,1/16/2018,8/26/2018,2018q1,222,UK,Health,1,2.2,0,0,0,6,0.74,,,0,1,0,6310741
smart-trip-platform,TASH,1000000,25000000,6/25/2018,2/1/2019,2018q2,221,USA,"Platform,Tourism",1,4.2,4,1,kyc,10,0.6,,,0,1,0,2853413
hackspace,HAC,,,9/19/2017,4/28/2018,2017q3,221,Cyprus,"Investment,Manufacturing",1,2.3,0,1,whitelist,7,,,,0,0,0,49775643
voxxo,VOXXO,300000,1250000,11/1/2017,6/6/2018,2017q4,217,Turkey,"Cryptocurrency,Media,Entertainment",1,2.8,1,0,0,5,,,,0,1,0,282000
gamblica,GMBC,3488800,34888000,3/1/2018,10/1/2018,2018q1,214,Malta,"SmartContract,Platform,Entertainment,Cryptocurrency,Casino&Gambling,Software",1,4.1,19,1,kyc,11,0.6,0, China,0,1,0,1371565
brikcoin,BRIKCOIN (BRIK),,6315000,6/1/2019,12/31/2019,2019q2,213,UK,"Investment,Realestate",1,4.3,5,0,kyc&whitelist,9,0.5,1," USA, China",0,1,1,5025224
aizeus,AZS,1500000,10000000,3/1/2019,9/30/2019,2019q1,213,Hong Kong,"Cryptocurrency,Platform",0,3,0,0,0,7,0.5,1," USA, China",0,1,0,2900000
adult-x-token,ADUX,1000000,10000000,10/31/2018,5/31/2019,2018q4,212,Austria,"Art,Banking,Businessservices,Communication,Cryptocurrency,Entertainment,Infrastructure,Internet,Media,Platform",1,3.9,1,1,0,6,0.6,0, None,0,1,1,1539000
coingrid,CGT,2466000,25000000,11/23/2018,6/23/2019,2018q4,212,New Zealand,"Cryptocurrency,Infrastructure,Investment,Platform,SmartContract,Software",1,3.7,0,0,kyc&whitelist,7,0.7,0, China,0,1,0,858477
bitto-exchange,BITTO,1053690,31610700,1/16/2018,8/15/2018,2018q1,211,UK,"Platform,Investment,Internet,Infrastructure,Cryptocurrency,Businessservices,Banking,SmartContract,Software",1,4,1,1,whitelist,9,0.5381,,,0,1,1,4500000
asobi,ABX,5000000,50000000,7/4/2018,1/30/2019,2018q3,210,Estonia,"Entertainment,Platform",1,3.7,1,1,kyc,13,0.5,1," USA, China",0,0,0,5000000
miner-edge,MET,1000000,32000000,9/7/2018,3/30/2019,2018q3,204,Anguilla,"Cryptocurrency,Energy,Infrastructure,Investment,Other",1,1.9,5,1,kyc,11,0.7,1, USA,0,1,1,6208000
gastery,WTR,1000000,8000000,5/1/2018,11/20/2018,2018q2,203,Russia,"Software,SmartContract,Platform,Entertainment,Cryptocurrency,Businessservices",1,3.9,9,1,0,7,0.56,,,0,1,1,1764397
uhive,HVE,10000000,54000000,1/30/2019,8/19/2019,2019q1,201,UK,"Entertainment,Internet,Platform,Software,VirtualReality",1,4.4,24,1,0,19,0.5,,,1,1,1,8100000
mhealthcoin,MHEC,845400,25000000,9/13/2018,3/31/2019,2018q3,199,Hong Kong,Health,1,2.8,0,0,0,6,0.32,1," China, USA",0,1,0,25000000
treon,TXO,4000000,25000000,6/18/2018,12/31/2018,2018q2,196,Estonia,"Communication,Energy",1,3.5,3,1,kyc&whitelist,7,0.43,1, USA,0,1,0,1137000
valorem-foundation,VLR,25000000,52500000,12/15/2017,6/27/2018,2017q4,194,USA,"Platform,Businessservices,Investment",1,3,2,1,0,4,,,,0,1,0,19113000
enecuum,ENQ,5967552,23870246,6/21/2018,12/31/2018,2018q2,193,Hong Kong,"Businessservices,Platform",1,3,0,0,kyc&whitelist,13,0.46,,,0,1,0,1500000
bitcqr,BCQR,1000000,10000000,4/20/2018,10/30/2018,2018q2,193,USA,"Infrastructure,Education,Communication,Internet",1,3,0,1,kyc,8,1,1," USA, China, Singapore",0,1,1,10000000
adshares,ADST,1000000,52600000,7/7/2017,1/12/2018,2017q3,189,Marshall Islands,"Businessservices,Platform,Internet",0,2.8,2,0,0,3,,1," Afghanistan, Albania, Belarus, Bosnia & Herzegovina, Burundi, Canada, Central African Republic, Cote dIvoire, Cuba, Democratic Republic of the Congo, Ethiopia, Guinea, Guinea-Bissau, Iran, Iraq ,Lebanon, Liberia, Libya, Mainland China, Malaysia, Myanmar (Burma), New Zealand, North Korea, Republic of Macedonia (FYROM), Serbia, Somalia, South Sudan, Sri Lanka, Sudan, Syria, Thailand, Trinidad & Tobago, Tunisia, Uganda, United States of America (USA), Venezuela, Yemen, Zimbabwe",0,1,0,12129522
friend,FRND,4910000,37111253,6/15/2018,12/21/2018,2018q2,189,Norway,"Businessservices,Communication,Infrastructure,Platform,Software,Education,Internet",1,3.9,5,1,kyc&whitelist,,0.82,0, n/a,1,1,0,424080
ftcoin,FTT,,,9/10/2017,3/18/2018,2017q3,189,Russia,Investment,1,2,0,0,0,8,,,,0,0,0,194
agifttoken-stage-i,aGifttoken / AGT,10000000,20000000,6/28/2019,1/1/2020,2019q2,187,Romania,Entertainment,1,3.3,0,0,kyc,,0.67,1," USA, CHINA, SINGAPORE",0,1,0,8100000
goldea,GEA,1500000,4500000,12/1/2017,6/5/2018,2017q4,186,Serbia,Manufacturing,1,2.9,2,0,0,15,0.77,,,0,0,1,1501239
perucoin,PRU,5000000,13300000,2/12/2019,8/16/2019,2019q1,185,,Education,1,3.3,0,0,kyc,4,1,0, None,0,0,0,274107
laneaxis,AXIS,2000000,300000000,6/21/2018,12/22/2018,2018q2,184,Cayman Islands,"Cryptocurrency,Investment,Platform,SmartContract",1,4,8,1,0,18,0.6,,,0,1,0,2000000
whenhub,WHEN,35000000,40000000,3/19/2018,9/19/2018,2018q1,184,USA,"Platform,Internet,Education",1,4,2,1,0,9,0.34,,,0,1,1,4000000
cosmecoin,COSX,2708600,10390000,5/10/2018,11/10/2018,2018q2,184,UK,"Health,Software",1,3.6,2,1,kyc&whitelist,9,0.6,1," USA, Italy, Germany, Spain, Canada, Japan, China, Korea, South Africa",1,1,1,11600000
bitwoex,BWX,1000000,3000000,8/8/2018,2/8/2019,2018q3,184,United Arab Emirates,Platform,1,2.6,1,1,0,2,0.65,1," USA, China",0,1,0,22700000
homelend,HMD,5000000,30000000,3/30/2018,9/30/2018,2018q1,184,Switzerland,"Banking,Cryptocurrency,Realestate",1,4.1,5,0,kyc&whitelist,10,0.64,,,1,1,0,4000000
memority,EMT Token,5000000,85500000,5/31/2018,11/30/2018,2018q2,183,Estonia,"Businessservices,Platform,Software",1,3.6,1,1,kyc,16,0.57,1," USA, China, Japan, South Korea, Cuba, Iran, North Korea, Syria, Crimea.",1,1,1,4816000
ips-token,IPS,1361760,32001360,7/1/2018,12/31/2018,2018q3,183,Canada,"Banking,Cryptocurrency",1,2.8,0,0,0,3,0.6,,,0,1,1,5979000
biogen,HTER,3000000,400000000,4/1/2019,9/30/2019,2019q2,182,Ireland,Health,1,3.8,9,0,0,8,0.4,1," USA, China",0,1,1,750000
coinxes,CXG,1000000,21600000,4/1/2019,9/30/2019,2019q2,182,UK,"Cryptocurrency,Businessservices,Other,Platform",1,3.9,4,1,kyc&whitelist,10,0.65,1, USA,0,1,1,193899
hydrocoin,HYC,20000000,500000000,4/1/2018,9/30/2018,2018q2,182,Germany,"Cryptocurrency,Investment,Energy,Infrastructure",1,3.6,8,1,kyc&whitelist,4,0.5,,,1,1,1,31250400
bqt,BQTX,2000000,50000000,9/18/2018,3/18/2019,2018q3,181,UK,"Banking,BigData,Businessservices,Communication,Cryptocurrency,Infrastructure,Internet,Investment,Platform,SmartContract,Software",1,4,10,1,kyc&whitelist,19,0.25,,,0,1,0,37000000
coinchase,CCH,43336,4539446,11/26/2018,5/26/2019,2018q4,181,Singapore,"Investment,Platform",1,4.1,2,1,kyc,8,0.2,1," USA, China",0,1,0,250280
darico,DEC,,36000000,1/30/2018,7/30/2018,2018q1,181,Gibraltar,"Platform,Cryptocurrency",0,3.6,14,1,kyc,12,0.6,1," USA, China",0,1,1,11500000
auditchain,AUDT,200000,20000000,2/9/2019,8/9/2019,2019q1,181,Switzerland,"Businessservices,BigData,ArtificialIntelligence,Platform",1,4,0,1,kyc,9,0.00008,1," USA, China",1,1,1,2500000
sofin,SOFIN,1000000,9500000,1/15/2018,7/15/2018,2018q1,181,Russia,"Investment,Businessservices,Banking,Legal,Platform",1,3.7,8,0,kyc&whitelist,6,0.9,1," USA, Singapore",0,1,0,1302414
bouncy,BOUNCY,500000,10000000,9/1/2018,3/1/2019,2018q3,181,USA,Casino&Gambling,1,2.7,0,0,kyc,7,0.8,0, None,0,1,0,80000
pulsar,PVC,,50000000,11/13/2017,5/13/2018,2017q4,181,Isle of Man,Investment,0,2.3,2,1,0,9,,,,0,1,0,15628725
kryptoin,KRP,,49153730,9/1/2018,3/1/2019,2018q3,181,Cayman Islands,"Cryptocurrency,Investment",1,3.7,4,1,kyc&whitelist,7,0.6,,,0,1,1,6000000
crypto-credit-card,CCCR,3000000,,12/4/2017,5/31/2018,2017q4,178,UK,"Cryptocurrency,Other,Banking,Platform",1,2.8,0,0,0,8,0.55,,,0,1,0,5000000
beat-1,BEAT,,42854000,1/23/2018,7/15/2018,2018q1,173,Germany,"Platform,Sports",1,3.2,3,0,kyc,10,0.7,,,0,1,0,3670678
the-uxm,UXM,,350000000,5/28/2018,11/15/2018,2018q2,171,Hong Kong,"Cryptocurrency,Internet,Media,Platform",1,,,1,0,10,0.35,,,0,1,0,622561
blockshipping-gscp,CCC,,24800000,5/14/2018,10/31/2018,2018q2,170,Denmark,"BigData,Businessservices,Cryptocurrency,Platform,SmartContract",1,4.1,24,1,kyc,9,0.8,1, USA,1,1,0,2500000
invox-finance-token-sale,INVOX,,10634000,4/15/2018,9/30/2018,2018q2,168,Australia,"Businessservices,Investment,SmartContract",1,4.5,8,0,kyc,7,0.55,,,0,1,1,7110000
wixlar-coin-ico,WIX,4938400,18519000,4/15/2018,9/30/2018,2018q2,168,Cyprus,"Retail,Platform,Media,Manufacturing,Entertainment,Education,Businessservices",1,3.2,0,1,kyc&whitelist,7,0.3,1, USA,1,1,0,8000000
lyntoken,LYN,9000000,19500000,11/15/2018,5/1/2019,2018q4,167,Estonia,Cryptocurrency,1,4.1,0,0,whitelist,11,0.8,0, None,0,1,1,9587500
dic-resort-private-token-offering,DIC,3000000,27933500,7/18/2019,12/31/2019,2019q3,166,United Arab Emirates,"Investment,Realestate,Tourism",1,3.3,0,0,kyc,4,,0, Prohibited Countries,0,1,0,243000
ecoingot,EGT,3000000,60000000,10/16/2018,3/31/2019,2018q4,166,Malta,"ArtificialIntelligence,Businessservices,Cryptocurrency,Energy,Health,Infrastructure,Internet,Investment,Manufacturing,Other,Platform,Retail",1,2.8,0,1,kyc&whitelist,15,0.857,1," USA, North Korea",1,1,0,23650450
fortfc,FFCT,2254400,28180000,2/16/2019,7/31/2019,2019q1,165,Russia,"Platform,Businessservices",1,4,1,1,kyc&whitelist,32,0.77,1, USA,1,1,1,785876
berith,BRT,,,7/20/2019,1/1/2020,2019q3,165,Singapore,"Cryptocurrency,Platform",1,3.2,1,0,kyc&whitelist,17,0.12,,,0,0,0,9484767
scanetchain,SWC,10000000,200000000,4/1/2018,9/10/2018,2018q2,162,Singapore,Platform,0,2.9,0,0,0,22,0.6,,,0,1,0,5866322
dobetacceptbet,DCA,,,1/22/2018,7/1/2018,2018q1,160,Serbia,"Internet,Platform",1,2.9,0,1,0,6,0.1,,,0,1,0,150000
provoco,VOCO,1062908,15184400,4/1/2018,9/7/2018,2018q2,159,Lithuania,"Entertainment,Media,Platform,SmartContract,Software",0,3.9,5,1,kyc&whitelist,21,0.51,,,0,1,1,8792160
araw,ARAW,2000000,25000000,9/10/2018,2/15/2019,2018q3,158,UK,"Retail,Platform,Investment,Infrastructure,Cryptocurrency,Businessservices,Banking,SmartContract",0,4.2,17,1,kyc&whitelist,13,0.7,1, USA,0,1,0,2500000
skyfchain,SKYFT,5000000,30000000,3/10/2018,8/15/2018,2018q1,158,Estonia,"Businessservices,Cryptocurrency,Platform,Software",1,4.6,56,1,whitelist,14,0.44,,,0,1,0,2425182
organicco,ORC,4673900,46739000,6/6/2018,11/9/2018,2018q2,156,UK,"Businessservices,Energy,Manufacturing",1,2.9,0,0,kyc,8,0.5,0, None,1,1,0,290000
oppopenwifi,OPP,4000000,40000000,8/14/2018,1/15/2019,2018q3,154,UK,"BigData,Communication,Cryptocurrency,Internet,Media,Software",1,4.4,31,0,kyc&whitelist,12,0.0355,0, None,1,1,1,4462120
bond-film-platform,BFP,10000,107000,6/27/2018,11/28/2018,2018q2,154,USA,"Art,ArtificialIntelligence,BigData,Communication,Cryptocurrency,Education,Entertainment,Internet,Investment,Media,Platform,SmartContract",1,3.7,2,0,kyc,6,0.03,1," USA, China",1,0,1,2300
iou,IOUX,,,9/18/2018,2/18/2019,2018q3,153,UK,"BigData,Businessservices,Charity,Communication,Cryptocurrency,Electronics,Entertainment,Health,Infrastructure,Internet,Investment,Media",1,4.5,4,1,kyc&whitelist,17,0.575,,,0,1,0,11700000
earthcycle,ECE,12000000,500000000,9/1/2018,2/1/2019,2018q3,153,Zimbabwe,"Businessservices,Cryptocurrency,Investment",0,3.3,5,1,0,5,0.7,1, USA,0,1,0,16400000
stellargoldcoin,XLMGOLD,2000000,20000000,6/15/2018,11/15/2018,2018q2,153,India,Cryptocurrency,1,2.6,2,1,0,4,0.2,,,0,1,0,6500000
younited,UNTD,,,9/24/2019,2/24/2020,2019q3,153,Singapore,"Casino&Gambling,Cryptocurrency,Entertainment,Investment,Platform,SmartContract,Software",0,3.9,0,1,kyc&whitelist,20,0.7,1,"North Korea, United States of America",0,1,1,600000
buratinobs,BUR,3000000,18000000,9/1/2018,1/31/2019,2018q3,152,Latvia,"Electronics,Cryptocurrency,Energy,Manufacturing",1,4.1,17,1,0,9,0.9,1, USA,0,1,1,10150000
olife,OLIFE,20000000,172500000,6/5/2018,11/4/2018,2018q2,152,Singapore,"Businessservices,Communication,Cryptocurrency,Retail",1,2.6,0,0,kyc,12,0.5,1, USA,1,1,0,20000000
forty-seven-bank,FSBT,2506356,25063560,12/16/2017,5/17/2018,2017q4,152,Latvia,,1,2.8,11,1,0,,,,,1,1,0,10000000
adamant-messenger,ADM,500000,8000000,1/30/2018,6/30/2018,2018q1,151,Ireland,"Businessservices,Communication,Internet",0,3.7,0,1,0,7,0.75,,,0,1,1,3997000
celestial-coin,CEL,,,11/15/2017,4/15/2018,2017q4,151,USA,Cryptocurrency,0,2.4,0,1,0,4,0.81,,,0,1,0,50000000
unocryptocoin,UNC,,,12/25/2018,5/25/2019,2018q4,151,USA,Platform,0,2.4,0,0,0,4,0.4,1," USA, India",0,1,0,568
javvy,JVY,118640,8000000,12/1/2018,4/30/2019,2018q4,150,Cayman Islands,"Banking,Cryptocurrency,Platform,Software",1,3.7,18,1,kyc&whitelist,13,0.75,0, China,0,1,0,7000000
horyou,HYT,,124923600,6/21/2018,11/18/2018,2018q2,150,Switzerland,Platform,1,3.8,2,0,kyc&whitelist,29,0.2,1," USA, China, Syria, Libya, Iran, Iraq, North Korea, South Sudan, Cuba",1,1,0,2134409
africunia,AFCASH,2000000,50000000,1/1/2018,5/31/2018,2018q1,150,UK,"Banking,Cryptocurrency",1,3.5,4,1,kyc,4,0.5,,,1,1,0,2500000
the-collective,CDEX,,20000000,2/15/2019,7/15/2019,2019q1,150,UK,"Businessservices,Media,Platform,VirtualReality",1,3.2,0,1,whitelist,23,0.25,1," USA, China",0,1,0,200000
ziggurat-token,ZIG,,53000000,11/20/2017,4/19/2018,2017q4,150,Estonia,"Platform,Cryptocurrency,Businessservices,Infrastructure",1,2.8,1,1,0,2,0.66,,,0,1,0,10000000
idea-jump,iJproject,,370000,12/1/2017,4/30/2018,2017q4,150,USA,"Platform,Investment",0,1.6,1,0,0,10,,,,0,0,0,28750
metabase,META,624000,41840000,9/4/2018,1/31/2019,2018q3,149,Hong Kong,"Infrastructure,Platform,Businessservices",0,4.2,2,1,kyc&whitelist,16,0.3,1," Canada, USA",0,1,0,10492100
beeasy,ETKN,,29345728,2/1/2018,6/30/2018,2018q1,149,Cyprus,"Businessservices,Cryptocurrency,Investment,Platform",1,3.6,5,0,kyc&whitelist,6,0.64,1," Hong Kong SAR,China, Japan, Australia, Singapore, Vietnam, Iran, North Korea, Syria, Sudan, U.S., Virgin Islands",0,1,1,3969129
rockz,APZ,,26250000,2/1/2019,6/30/2019,2019q1,149,Switzerland,Cryptocurrency,1,3.7,1,1,kyc&whitelist,16,0.6,1," USA, China, North Korea, Iran, Somali, Myanmar",1,1,0,1315405
starflow,STAR Token,16000000,23467408.44,7/4/2018,11/30/2018,2018q3,149,Singapore,"Cryptocurrency,Entertainment,Infrastructure,Media,Platform,Software",1,3.2,1,1,kyc&whitelist,21,0.5,1," USA, China, Singapore",0,1,1,261206
misscoin,MISC,,,12/9/2017,5/7/2018,2017q4,149,UK,"Entertainment,Media",1,2.3,1,1,0,6,0.75,,,0,1,0,311000
