ICO,Token,Softcap,Hardcap,Start,End,Quarterstart,Duration of offering,Country,Category,ERC20,Rating,Number of experts,Bonus,Policy,Number of team members,Distributed in ICO,US restriction,Restricted countries,Accepted fiat,Major cryptocurrencies,Presale,Amount raised
comsa,CMS,,,10/2/2017,11/6/2017,2017q4,35,Japan,"Platform,Businessservices",0,1.9,1,1,0,6,0.55,,,0,1,0,95000000
iconomi,ICN,,,8/25/2016,9/29/2016,2016q3,35,Slovenia,Platform,0,2.6,2,0,0,26,,,,1,1,0,10000000
rustbits,RUSTBITS,,70000000,6/26/2017,7/31/2017,2017q2,35,USA,Entertainment,0,1.8,0,1,0,2,,,,0,1,0,500000
bitpark-coin,BITPARK,,,9/15/2016,10/20/2016,2016q3,35,Japan,"Businessservices,Platform",1,1.3,4,0,0,3,,,,0,1,0,291956
battledrome,FAME,50,2000000,7/1/2017,8/5/2017,2017q3,35,USA,Entertainment,1,1.2,0,0,0,3,,,,0,0,0,227328
rate3,RTE,,,4/16/2018,5/21/2018,2018q2,35,San Marino,,1,3.4,3,1,kyc&whitelist,10,0.4,,"USA, China, South Korea",0,1,0,17480500
utime-token-utmt,UTime Token / UTMT,,,9/3/2019,10/8/2019,2019q3,35,Singapore,"Charity,Health",1,2.9,0,0,kyc&whitelist,,0.1,1,"USA, Canada, China",0,1,0,10000000
triipmiles,TIIM,250000,2475000,2/23/2019,3/29/2019,2019q1,34,Singapore,"Platform,SmartContract,Tourism",1,4.2,1,1,kyc&whitelist,13,0.33,1," USA, China, North Korea",1,1,1,700000
kozjin,KOZ,,195000000,6/24/2019,7/28/2019,2019q2,34,Singapore,Platform,1,4.2,2,1,kyc,9,0.65,1," USA, CHINA",0,1,0,15000000
peculium,PCL,7971600,22776000,12/21/2017,1/24/2018,2017q4,34,France,"Businessservices,BigData,Banking,ArtificialIntelligence,Cryptocurrency,Investment,Legal,Platform,SmartContract,Software",1,4,2,1,kyc,40,0.25,,,0,1,1,9917634
cdrx,CDRX,5000000,100000000,11/19/2018,12/23/2018,2018q4,34,Singapore,"Investment,Cryptocurrency,Banking,Platform",1,4,4,1,kyc&whitelist,8,0.5,1," USA, China",1,1,1,19000000
swissborg,CHSB,,50000000,12/7/2017,1/10/2018,2017q4,34,Switzerland,"Cryptocurrency,Businessservices,Banking",1,3.6,18,0,0,13,,,,0,0,0,51000000
suncontract,SNC,,32793000,6/28/2017,8/1/2017,2017q2,34,Slovenia,"Energy,Platform",0,3.3,3,0,0,13,,,,0,0,0,2000000
rouge,RGE,592980,28000000,6/4/2018,7/8/2018,2018q2,34,Estonia,Retail,1,3.4,1,1,kyc,6,0.5,1," USA, China",0,1,0,1500000
triforce-tokens,FORCE,3000000,12000000,10/8/2018,11/11/2018,2018q4,34,UK,"Cryptocurrency,Entertainment",1,3.6,7,1,kyc&whitelist,10,0.736,1, USA,0,1,0,750000
blockaip,BAIP,4000000,38000000,11/21/2018,12/25/2018,2018q4,34,,"Media,Platform",1,2.8,0,0,0,11,0.7,,,0,1,0,22694506
