ICO,AR7,AR30,AR180
friendz,0.292515025,-0.284330153,-0.690142764
fintrux,0.226355458,-0.445565676,-0.605708314
kind-ads-system,-0.529114994,-0.821417114,-0.371871858
uquid,-0.103070301,0.233091807,0.183623715
change-bank,-0.489601348,-0.573470821,-1.038479529
xyo-network,-0.171154699,-0.171326641,-0.163839407
darico,-0.011921088,2.078013087,1.177114341
atb-coin,0.15353539,-0.227524357,-1.805256489
morpheus-infrastructure-token,-0.095588244,-0.204420122,-0.409707173
ties-network,-0.098140108,-1.425478543,-0.897581924
zap-store,-0.186723127,-0.349336888,-0.378079661
tokenstars-team,-0.079844367,-0.435186611,-0.638756857
the-quantum-resistant-ledger,1.088413691,-0.157345773,-2.593410886
truegame,-0.055234556,-0.333540945,-0.11167771
travala-com,0.090775856,-0.417840956,0.025243912
axl,-0.197562329,-0.772552686,
hero,6.90947449,3.35309856,0.539463422
flyp-me,-0.438712905,-1.064595369,-1.007858107
game-com,0.305730198,-0.248371182,0.192769713
storm,0.780776173,3.801464856,0.866349923
nebulas,0.067918751,-0.927830727,-0.414329445
poa-network,-0.382793915,-0.038789783,-0.431903047
databrokerdao,-0.67582887,-0.685871852,-0.395501858
rigoblock,,,
bitjob,-0.509966452,-1.879143567,-1.318630391
veritaseum,-0.118901948,2.560215996,-3.70955862
daobet,0.19311398,-0.633867263,-5.108648267
pluscoin,-0.329326839,-1.560283045,-1.201788654
coinloan,,,
coupon-chain,0.158246412,,
mavro,-0.022675377,-1.291432297,-4.656146575
sero,-0.187865758,-0.517340948,-0.616831823
adshares,-0.703307607,-0.630902292,-1.128697454
origin-protocol,-0.521569203,-0.518317071,
dusk-network,0.201672191,-0.46761179,-0.470193048
dmarket,-0.216594799,-0.346280009,-0.415949443
crowdholding,-0.206627044,-0.318795701,-0.378503179
ice-rock-mining,-0.082258481,-0.015626191,0.27596348
sp8de,-0.197423481,-0.156434651,-0.258084016
chex,-0.02137218,0.002457023,0.288835681
blockstack,0.091228436,-0.240869083,
atlant,-0.598929153,-1.144757451,-1.090688646
dacsee,-0.280435525,-0.520544237,-0.296905439
deex,0.031076692,-0.16413082,-0.511648222
encrypgen,0.032381927,3.944355365,1.451640026
augur,0.02352588,-0.033901135,2.899800581
tokes,-0.239155797,0.208221013,-0.051438479
bankcoin,0.385785087,1.545847305,-2.172759074
encryptotel,-0.465030288,-0.501910637,-4.115012483
kwhcoin,0.751134805,1.274512726,-0.479033114
bethereum,-0.1988432,-0.26932326,-0.371794984
neo,-0.353113873,-0.631728301,-1.717956563
1world,-0.164633879,-0.398731532,-0.499774623
amon,-0.432447425,-0.456699218,-0.568797165
graft,-0.287516944,-0.294915794,-0.446061535
aurora,-0.440645784,-0.671168499,-0.367875486
storm,0.780776173,3.801465567,0.866350027
lala-world,-0.406222021,-0.355031248,-0.572683907
cpchain,0.003931788,-0.238907655,-0.475490628
unibright,-0.160246647,-0.499445816,-0.481555948
omisego,-0.090724814,8.945042532,36.89120895
intelligent-trading-foundation,-0.793750008,-0.750909435,-1.520085585
bitcrystals,-0.031296045,0.042598254,0.744378779
zen-protocol,0.103597162,-0.471449391,-0.351720753
skincoin,-0.359200918,-0.531120002,-3.844519731
constellation,-0.119250245,-0.438750366,-0.389034985
fidentiax,2.066080581,0.500725347,-0.361051934
syncfab,-0.238972012,-0.462537867,-0.623245156
bitcoen,0.26610907,1.066531527,-0.303536649
decent-bet,-0.323968362,-1.928605617,-0.862902635
fortknoxster,-0.376794661,-0.158568429,-0.284902646
aigang,-0.39638015,-0.556837058,-0.454509859
hdac,-0.188031319,-0.319752904,-0.217938431
wandx,-0.003328361,0.007690466,-0.33996138
elastos,0.475620724,0.838957752,-0.387022915
tokenomy,-0.197183631,-0.151401063,-0.309966623
nebula-ai,0.425741326,-0.148765607,-0.461448953
gexan,0.008541177,0.308265285,-0.538053004
ferrum-network,-0.183533374,-0.340968684,
tezos,0.22692098,-0.427498787,0.015172158
proximax,-0.212865848,-0.270933117,0.007193636
uranus,-0.311807419,-0.424616775,-0.606971881
qtum,-0.262780383,0.574133207,-0.734457553
daex,0.019323522,-0.160982743,-0.559658374
darcrus,1.443432819,0.697425406,0.570470447
libra-credit,-0.217369103,-0.388574822,-0.48673599
tokoin,-0.032547294,-0.071952775,
contents-protocol,0.086421154,-0.067575413,-1.174959025
fleta,-0.274843866,-0.439232371,-0.427611984
unification,-0.483924445,-0.719051981,-1.3298241
hedera-hashgraph,-0.534540998,-0.375224256,
marshal-lion-group-coin,0.371994487,-0.186444724,
paypie,-0.530351072,-0.73057035,0.230018725
xenoverse,-0.170932535,-0.396334355,
ioex,0.185583308,0.130462712,
pundi-x,0.100404963,3.776282654,0.703856252
dos-network,-0.265532056,-0.895125451,-2.324276451
status,0.062954538,0.13683838,-2.188652713
alphacat,-0.220582189,-0.358212998,-0.497277206
eden,-0.336669443,-0.571949348,-0.550044081
contentbox,-0.421582539,-0.235820779,-0.403060582
