Name,Symbol,Price,45d,90d,200d,MktCap,24hVol,Circ_Supply,Total_Supply,Brand_Buzz,Social,Avg_volume,Age_mo,Winning_months
Cazcoin,CAZ,0.0016,-62.02,-77.09,-91.58,67.68,4.69,41.264,48540693,25,44,1173,8,8
Crypto Improvement Fund,CIF,0.0003,10.96,-1.66,-1.66,0,2.74,0,211329521,0,19,27,5,5
Couchain,COU,1.80E-05,80.87,4.48,-79.08,0,41.05,0,30000000000,50,44,23795,8,8
Aeon,AEON,0.4547,39.9,-26.34,-26.34,7.2,15.16,15.831,15831459,0,52,3783,42,42
MTC Mesh Network,MTC,0.0031,61.36,-25.07,-25.07,948.05,123.05,306.95,1000000000,,57,169238,6,6
Agrolot,AGLT,0.001,-95.64,-98.68,-98.68,14.36,1.07,13.752,100000000,25,54,18,4,4
Espers,ESP,8.09E-05,99.57,-37.14,-61.41,1.85,97.17,22.888,22888373670,0,49,391,33,33
WhaleCoin,WHL,0.0007,-88.62,-94.66,-98.15,7.12,0,10.192,10192294,0,46,10047,16,16
Dinero,DIN,0.0011,-70.86,-88.75,-88.75,10.26,1.26,8.948,10947934,,23,921,5,5
XGOX,XGOX,5.93E-05,49.23,-68.17,-87.17,141.04,32.97,2.38,2632945770,,33,2143,16,16
ToaCoin,TOA,0.0004,-83.74,-77.4,-88.23,1.25,5.38,3.51,9201099535,0,51,8527,18,18
Coin2Play,C2P,0.0004,-95.63,-99.22,-99.22,0,87.24,0,17982814,,41,184,5,5
CoinEx Token,CET,0.0286,400.09,214.23,214.23,0,3.08,0,5887885470,0,57,213323,3,3
MIB Coin,MIB,0.013,-40.12,-76.93,-76.93,1.22,556.78,93.678,300000000,25,55,10726,5,5
IXT,IXT,0.0189,-70.42,-72.87,-94.23,677.23,18.08,35.779,65778844,25,32,3604,18,18
AurumCoin,AU,24.49,-30.38,100.47,-38.6,7.31,601.84,298.398,298398,,60,458,52,52
Opus,OPT,0.0059,-26.96,-9.48,-74.24,820.03,944.38,140.081,249308531,0,51,168,17,17
Verify,CRED,0.0444,45.38,-11.51,-62.58,599.87,219.68,13.509,29997543,75,49,315,14,14
Goodomy,GOOD,0.0006,-3,-41.22,-89.11,380.16,0,620.509,888000000,0,55,0.2667,19,19
Cryptonite,XCN,0.0006,53.73,-10.87,-48.57,447.87,922.64,708.507,708506520,,28,253,54,54
Phonecoin,PHON,0.001,-95.03,-99.46,-99.46,59.76,284.43,61.659,62059467,,48,1268,4,4
Phantomx,PNX,0.0006,85.89,-26.93,-67.67,22.76,17.17,40.854,40853848,,19,28,15,15
InsaneCoin,INSN,0.0055,158.03,-13.73,-76.1,128.13,252.23,23.491,23490734,0,28,47,21,21
Pakcoin,PAK,0.004,487.43,126.14,51.92,272.43,0.79,68.595,68594750,,46,47,41,41
HomeBlockCoin,HBC,0.0009,-78.34,-88.51,-94.31,4.48,0.35,5,9529146,,34,45,13,13
BitKan,KAN,0.0043,117.82,41.21,41.21,17.16,2.47,3.954,10000000000,0,70,243385,6,6
SONDER,SNR,0.0004,-26.51,-77.26,-77.26,66.93,0,168.879,240000000,50,46,8771,3,3
Lightning Bitcoin,LBTC,5.99,125.05,12.93,-43.87,23.14,2.66,3.861,7465926,0,35,317729,13,13
Aigang,AIX,0.0081,-24.35,-58.07,-90.33,236.53,17.67,29.275,29274567,50,32,14568,13,13
DWS,DWS,0.0012,-60.98,-86.46,-99.32,0,10.72,0,500000000,,44,69103,7,7
Buggyra Coin Zero,BCZERO,0.0191,-48.38,130.94,130.94,38.34,39.89,2.011,10000000000,,78,34903,4,4
Trittium,TRTT,0.0061,27.88,-43.78,-73.3,746.2,1.03,121.376,122091886,,39,1726,7,7
RED,RED,0.0071,-5.11,-54.76,-82.14,926.6,40.18,130,200000000,75,40,9515,8,8
Bettex Coin,BTXC,0.0751,-50.21,-31.53,-31.53,419.85,187.83,5.591,5590953,,40,14872,5,5
Numus,NMS,0.0253,34.79,-57.54,-82.25,69.6,0,2.751,2750877,,28,72,13,13
Help The Homeless Coin,HTH,7.90E-05,-1.05,-59.36,-59.36,86.1,98.14,1.09,1089666150,,13,133,6,6
OBXcoin,OBX,6.90E-05,-67.27,-93.18,-93.18,0,122.44,0,1.00E+11,,38,77,4,4
MEX,MEX,0.0009,86.82,-28.75,-28.75,0,84.9,0,1939999970,,44,8561,5,5
Ixcoin,IXC,0.0137,-41.64,-51.42,-71.78,288.48,30.51,21.069,21068698,,43,23,69,69
FuturoCoin,FTO,1.5,-78.85,-83.94,-86.37,0,1.22,0,100000000,0,29,382445,8,8
Bela,BELA,0.0176,21.78,-52.02,-80.38,719.49,3.17,40.828,48496906,0,47,1171,59,59
AquariusCoin,ARCO,0.1106,270.72,74.48,-34.34,253.17,13.48,2.289,2288626,,43,76,33,33
Ordocoin,RDC,7.90E-06,97.1,-59.42,-59.42,0,118.41,0,5.10E+13,0,44,11435,6,6
SaveNode,SNO,0.0004,-74.08,-91.38,-91.38,0,8.45,0,29100632,0,36,203,5,5
CEDEX Coin,CEDEX,0.0376,46.84,-72.12,-72.12,0,30.86,0,80525599,100,41,542,6,6
Pixie Coin,PXC,0.0006,-3.84,-30.35,-66.98,0,35.85,0,10000000000,,44,22689,9,9
GCNCoin,GCN,9.60E-07,-41.5,-77.3,-88.72,160.77,243.84,168.297,1.68E+11,0,44,111,51,51
Abulaba,AAA,0.0002,-92.55,-96.85,-96.85,2.38,11.43,15.091,397000000,0,46,2029,5,5
Zealium,NZL,0.0034,-31.99,-31.99,,27.72,14.61,8.159,9300231,,38,181,2,2
Cybereits,CRE,0.0029,142.11,-55.71,-83.38,0,46.03,0,1000000000,0,57,575,9,9
Elixir,ELIX,0.0045,-72.42,-84.34,-98.16,160.58,906.2,35.339,35339174,0,37,787,16,16
Universal Currency,UNIT,0.0063,-77.67,-89.51,-97.87,100.05,0,15.949,20049110,,37,1016,45,45
YENTEN,YTN,0.0029,83138,4499,-59.58,53.81,223.74,18.785,18784900,,23,30,14,14
