Name,Symbol,Price,45d,90d,200d,MktCap,24hVol,Circ_Supply,Total_Supply,Brand_Buzz,Social,Avg_volume,Age_mo,Winning_months
QYNO,QNO,0.0034,-96.18,-98.61,-98.61,3.69,776.56,1.075,2511458,,34,13910,5,5
Datacoin,DTC,0.0003,-62.29,-86.07,-92.56,11.66,0.63,36.874,36874014,,30,9,62,62
Peony,PNY,0.0073,327.97,48.41,48.41,3.03,69.39,413.526,531166,,41,3654,3,3
ArtByte,ABY,0.0013,-13.87,-48.95,-70.27,997.45,7.9,792.537,792537250,,44,2544,56,56
Emerald Crypto,EMD,0.008,50.76,-1.62,-21.45,152.3,0,19.117,19117129,,35,14,66,66
Sub Invest,SUBX,3.00E-08,-13.53,-45.99,-45.99,13.68,0,393.988,4.82E+11,,38,76,3,3
KoreCoin,KORE,0.5428,30.82,-38.28,-62.57,4.82,39.94,8.875,8875003,0,47,51187,56,56
DEW,DEW,0.1958,183.93,22.5,-52.83,20.22,13.22,103.245,200000000,0,63,1149,13,13
Startcoin,START,0.0038,104.17,-17.16,-60.46,170.98,556.47,45.08,70782220,0,24,105,56,56
GreenMed,GRMD,0.0021,2.27,-46.79,-86,30.67,674.82,14.9,14899993,0,46,13589,10,10
KingXChain,KXC,3.26E-06,2.28,-53.05,-53.05,0,23.39,0,8850000000,0,54,7480,5,5
vSlice,VSL,0.0019,-16.36,-56.98,-97.25,64.9,205.74,33.39,33390496,,39,2,26,26
StarterCoin,STAC,0.0005,-42.15,-62.76,-84.36,171.69,1.94,342.007,342007189,75,49,321,11,11
BERNcash,BERN,0.0008,117.38,-19.02,-60.83,56.2,0,71.234,71234301,,30,24,34,34
ZIP,ZIP,0.0006,48.1,-49.7,-87.5,10.32,6.13,16.2,1.00E+11,,70,1048794,8,8
Sugar Exchange,SGR,0.0032,-39.65,-79.35,-97.2,83.03,8.85,25.908,80000000,,43,144,15,15
DarkPayCoin,DKPC,0.0043,-92.77,-97.61,-97.61,0,476.53,0,5245535,,44,9031,3,3
PrimeStone,PSC,0.0022,-75.25,-77.94,-77.94,18.49,18.27,8.355,8399685,0,43,854,4,4
Gentarium,GTM,0.3111,-60.41,-57.88,-57.88,1.03,10.8,3.312,3311668,0,48,2547,5,5
Quark,QRK,0.0033,8.03,-55.21,-50.66,864.5,0,258.48,258480269,,30,16,65,65
WXCOINS,WXC,0.0106,-97.77,-99.61,-99.61,0,287.71,0,7015102,,29,62516,4,4
KARMA,KARMA,0.0003,-34.11,-80.58,-80.58,1.1,2.94,3.299,9469148945,0,48,1739,6,6
Woodcoin,LOG,0.05,-31.71,-30.95,-51.73,401.84,0,8.035,8035193,,37,2184,47,47
Minereum,MNE,0.008,7.86,-69.17,-90.27,46.39,254.14,5.813,5813233,0,43,84,21,21
Ice Rock Mining,ROCK2,0.2123,-31.04,-37.76,-37.76,3.34,28.71,15.718,15724272,50,37,1735,6,6
Datarius Credit,DTRC,0.001,23.89,-37.53,-69.7,129.53,1.3,127.756,239992867,25,53,1425780,9,9
Bitdice,CSNO,0.0299,-25.42,-48.67,-59.7,2.09,244.96,70,100000000,0,52,819,16,16
Pigeoncoin,PGN,0.0002,92.53,-18.35,-18.35,409.65,1.79,2.601,2601177700,0,41,709,6,6
EvenCoin,EVN,0.4923,102.13,733.46,733.46,10.76,1.06,21.865,26658843,,59,485088,5,5
MedicCoin,MEDIC,0.0006,-74.34,-83.35,-97,165.88,6.28,266.172,266172331,0,37,9496,45,45
Mincoin,MNC,0.0113,7.98,-42.16,-44.17,61.88,21.34,5.476,5475673,,27,12501,69,69
Trident Group,TRDT,0.0062,-77.91,-71.51,-74.37,7.51,0,1.213,3000000,,34,0.9,14,14
iBTC,IBTC,0.0009,14.21,-88.68,-88.68,25.94,184.71,27.783,50000000,0,43,859,15,15
EUNOMIA,ENTS,7.83E-06,-52.84,-78.2,-78.2,128.61,28.4,16.421,19973330191,,36,26725,4,4
ShareX,SEXC,0.0004,-25.34,-69.94,-94.37,249,0.58,645.515,1000000000,0,52,1311,13,13
OP Coin,OPC,5.08E-05,-37.88,-68.46,-86.31,94.34,57.22,1.859,2473656069,,28,155,13,13
FOIN,FOIN,1636.47,64.62,110.97,110.97,0,1.02,0,90716806,,29,220389,5,5
EquiTrader,EQT,0.1185,392.47,155.01,56.24,1.44,6.32,12.119,13219168,,34,67,20,20
Crave,CRAVE,0.0047,-56.74,-85.65,-96.7,71.54,33.56,15.367,15366648,0,28,187,46,46
GoldBlocks,GB,0.0037,-7.39,-19.31,-66.8,57.7,196.77,15.564,15563873,,35,69,32,32
Centaure,CEN,0.0002,32.7,-88.86,-88.86,0,0,0,34000000,0,38,961,5,5
GlobalBoost-Y,BSTY,0.0153,708.72,198.68,-9.73,255.74,503.24,16.769,16769471,0,41,629,52,52
Infinitecoin,IFC,2.16E-05,21.02,-28.83,-53.68,0,0,0,90596274910,,25,25881,67,67
Knekted,KNT,0.0002,-74.62,-80.14,-80.14,167.12,1.27,1,1000000000,,46,104,4,4
Rocketcoin,ROCK,7.02E-06,-96.64,-99.27,-99.27,946.8,0,134.95,134956388,,38,142,3,3
Infinipay,IFP,0.0024,1091,725.04,725.04,0,169.64,0,1629086,,34,0.2667,6,6
Plancoin,PLAN,0.0017,-28.82,-75.71,-96.86,46.53,12.78,26.975,26975135,,46,7428,9,9
Thunderstake,TSC,7.90E-05,-1.1,-59.29,-59.29,57.38,84.82,726.144,726144092,0,28,108,5,5
Carboncoin,CARBON,3.47E-05,-18.01,6.94,-76.06,533.49,39.61,15.392,15392022532,,39,0.5517,54,54
Ellaism,ELLA,0.0077,-41.08,-76.09,-88.48,149.95,179.47,19.364,19364074,,30,188,15,15
KanadeCoin,KNDC,9.89E-06,-41.08,-82.27,-95.55,54.13,79.09,5.471,10000000000,0,39,7,7,7
Kobocoin,KOBO,0.0057,-68.49,-70.97,-84.74,140.41,0,24.7,24700248,,28,18,48,48
Mirai,MRI,0.0043,-59.68,-87.91,-87.91,14.75,3.54,3.432,3442977,,31,1944,5,5
Helper Search Token,HSN,2.82E-06,107.1,-31.56,-31.56,0,16.12,0,10000000000,,41,6958,4,4
iEthereum,IETH,0.0428,-4.12,181.84,148.15,768.85,2.02,17.982,18000000,0,54,917,15,15
PeepCoin,PCN,2.64E-06,-53.79,-72.96,-93.09,137.66,1.04,52.201,91400533803,,45,654,19,19
Fountain,FTN,0.0301,-12.08,,,1.45,148.32,48.268,2186433464,25,70,138209,1,1
LIFE,LIFE,0.0001,45.56,80.6,55.35,2.87,29.5,23.442,1.00E+11,,63,4882,15,15
LRM Coin,LRM,0.011,-99.72,-99.72,,54.16,706.68,4.91,4910141,0,49,132681,2,2
Block-Logic,BLTG,0.0132,-15.46,-15.46,,302.64,1.26,22.899,35045912,0,47,412,2,2
CrowdWiz,WIZ,0.0092,-51.07,-51.07,,79.55,200.13,8.632,11169314,75,29,665,3,3
DOWCOIN,DOW,0.0104,-95.51,-96.28,-96.28,112.9,2.61,10.811,2000000000,0,58,1626,5,5
Kurrent,KURT,0.001,-34.44,12.5,-82.66,63.03,12.49,61.365,72764813,,39,4,26,26
Grimcoin,GRIM,0.0003,272.94,21.77,-60.84,30.16,0.71,95.414,101050836,,38,209,15,15
Pepe Cash,PEPECASH,0.0152,169.51,86.8,-12.5,10.67,47.66,701.884,701884009,,48,1703,28,28
Dragon Token,DT,1.5,84.24,20.71,20.71,0,0,0,21406200,,34,0,3,3
Piggycoin,PIGGY,0.0004,49.32,-16.25,-57.18,186.9,143.09,492.536,492535714,0,39,145,56,56
BFFDoom,BFF,1.07E-06,-5.87,-83.33,-83.33,0,2.14,0,16000000000,,34,4,5,5
EscrowCoin,ESCO,0.0083,-84.28,-96.06,-96.06,0,3.25,0,3328745,,26,916,6,6
Proton Token,PTT,0.0002,14.79,-59.56,-89.98,373.65,107.96,2.394,10000000000,,55,74344,7,7
InvestDigital,IDT,0.0056,204.07,4.97,-81.34,0,51.7,0,800000000,50,44,139515,13,13
FNKOS,FNKOS,0.0197,55.69,-7.7,-7.7,2.77,1.67,140.396,1000000000,25,52,9604,7,7
Bitcoin Plus,XBC,8.59,36.66,39.48,-71.58,1.06,9.71,123.683,123683,0,31,2839,57,57
SkyHub Coin,SHB,0.0941,-94.39,-94.39,,33.36,2.56,354.463,404463,,40,9799,3,3
AmsterdamCoin,AMS,0.0007,254.53,9.26,-68.07,35.64,0,50.202,81469427,,34,54,42,42
BlueCoin,BLU,0.0006,-56.84,-66.94,-77.21,317.9,222.07,574.684,574683675,,30,23,57,57
Valuto,VLU,0.0019,12.49,-72.34,-72.34,0,76,0,47394375,,38,178,3,3
ZB,ZB,0.3371,145.42,63.75,63.75,0,71.42,0,2100000000,,50,29577720,4,4
Yuan Chain Coin,YCC,0.0065,11.19,-31.45,-31.45,0,258.21,0,10000000000,0,57,136868,6,6
bitSilver,BITSILVER,8.15,-19.6,-40.67,-54.1,173.41,0,21.281,21281,,39,6,47,47
Bionic,BNC,2.57E-05,-55.52,-67.37,-67.37,13.79,22.75,536.244,700000000,0,39,9843,5,5
W3Coin,W3C,2.61E-06,-89.95,-89.8,-99.4,173.51,16.45,66.462,99998988889,0,59,769,12,12
CHIPS,CHIPS,0.0385,164.95,-29.9,-80.09,808.27,0,20.995,20995342,,26,26,16,16
Thrive Token,THRT,0.0153,116.5,73.04,-40.14,1.58,4.33,103.192,202027490,50,49,31705,7,7
Italian Lira,ITL,7.87E-06,-80.9,-74.33,-74.33,45.56,48.42,5.789,1.00E+11,,51,55572,4,4
Orbis Token,OBT,0.0033,2.45,-77.93,-77.93,63.27,0,19.167,68960126,0,45,60,6,6
Jesus Coin,JC,1.33E-05,74.62,41.99,-75.63,239.27,0.71,17.98,20325184344,0,48,44,12,12
Elementrem,ELE,0.0047,7.25,-43.81,-62.66,123.3,0,26.206,26205539,,45,0,30,30
BumbaCoin,BUMBA,0.0004,-54.35,-76.81,-91.29,9.05,0,23.336,23335668,,34,2,34,34
X12 Coin,X12,0.0063,-60.03,-89.66,-89.66,0,75.19,0,14855147,,26,1871,4,4
SpectrumCash,XSM,7.90E-05,,,,0,271.78,0,3330000938,0,26,3865,1,1
GeyserCoin,GSR,0.0335,174.08,-5.62,-92.93,35.21,13.62,1.051,1051212,,19,52,18,18
TransferCoin,TX,0.2076,148.44,2.05,-52.64,1.59,38.44,7.678,7678456,0,40,36674,42,42
Digital Money Bits,DMB,0.0004,97.1,-64.06,-92.91,38.77,5.63,98.14,108139508,,23,96,20,20
Dreamcoin,DRM,0.0167,94.68,-9.1,-56.02,42.26,4.41,2.534,2534113,,30,8,57,57
Ultiledger,ULT,0.0069,12.45,,,4.18,642.74,602.776,4500000000,,36,23204,1,1
Monster Byte Inc,MBI,0.0326,1.42,-40.36,-25.48,548.4,0,16.823,40000000,,43,36,18,18
Canada eCoin,CDN,0.0014,-42.61,-63.57,-83.27,134.63,79.79,97.416,97415544,,28,59,57,57
TEKcoin,TEK,3.58E-05,-11.55,-71.96,-75.6,50.59,0,1.414,1414054562,,39,5,57,57
Bitcoin X,BTX,0.0024,-87.39,-97.78,-97.78,6.74,169.63,2.864,20998348,,46,334,3,3
Nyancoin,NYAN,0.0007,97.16,120.18,-39.51,229.63,3.33,322.806,322805606,,35,71,60,60
Opal,OPAL,0.0084,-25.46,-50.45,-63.69,127.82,0,15.155,15155423,0,20,2,53,53
Neuro,NRO,0.0003,6.81,-2.24,-80.56,18.77,77.55,59.401,61401326,,34,18,20,20
EmberCoin,EMB,5.00E-08,7.86,-51.99,-88.11,0,0,0,8.62E+11,,23,459,18,18
Crystal Clear,CCT,0.0055,-58.03,-75.13,-85.1,29.57,1.9,5.424,6924060,25,39,28,16,16
ParallelCoin,DUO,0.0586,-67.08,-75.73,-89.91,18.43,3.11,314.719,314719,,43,137,39,39
Bitcoin Planet,BTPL,0.0007,-56.08,-75.42,-93.09,4.84,17.59,6.804,7302962,,34,7,19,19
Hyper Pay,HPY,0.0023,33.76,-19.83,-72.69,0,0,0,2650000000,0,21,297,13,13
ArcticCoin,ARC,0.0072,51.48,-42.81,-70.2,185.05,1.48,25.65,25650015,,24,105,28,28
Zeitcoin,ZEIT,4.39E-06,-78,-87.98,-93.01,162.41,369.14,36.971,36971232036,,13,189,59,59
MassGrid,MGD,0.0866,17.24,40.69,40.69,6.33,35.85,73.053,134235258,25,33,7144,6,6
Oceanlab,OCL,0.0014,-79.44,-81.47,-83.86,67.39,67.18,46.5,50000000,0,56,121,17,17
808Coin,808,3.00E-08,-82.78,-92.32,-99.46,31.24,124.35,1.098,1.10E+12,,28,395,30,30
PROUD Money,PROUD,0.0088,149.61,42.64,-33.9,0,74.19,0,5711511682,,23,120,28,28
GeoCoin,GEO,0.5296,22.2,-23.87,-39.1,1.68,3.78,3.181,4000000,0,46,1130,47,47
CompuCoin,CPN,0.0009,0,-62.63,-66.67,18.06,0,19.615,19615019,,34,0,43,43
Animecoin,ANI,0.0004,-32.97,-63.08,-94.11,0,0,0,,,19,6,59,59
Adenz,DNZ,4.48E-05,-86.89,-95.74,-95.74,0,0.19,0,5333061,,34,0.9655,5,5
Dinastycoin,DCY,0.0002,42.65,23.17,-18.84,441.57,21.57,1.863,1862805628,,31,130,19,19
DigiFinexToken,DFT,0.2926,115.55,83.04,-56.99,0,16.03,0,2100000000,0,61,807565,7,7
BeeKan,BKBT,0.001,193.54,36.17,-82.05,0,227.13,0,10000000000,,44,651168,7,7
APR Coin,APR,0.0138,-67.5,-87.81,-95.86,101.69,22.79,7.354,7353803,,33,6508,9,9
iQuant,IQT,0.0098,42.22,131.7,-73.3,0,97.21,0,100000000,0,34,0.6667,17,17
Bata,BTA,0.0281,103.12,-25.39,-68.84,142.04,491.09,5.052,5052026,0,28,155,44,44
PyrexCoin,PYX,0.0015,-77.06,-88.9,-88.9,17.93,117.61,11.946,18446744,0,40,86,4,4
EtherSportz,ESZ,0.0261,6.53,-51.58,-80.62,177.87,65.78,6.806,6805580,100,15,477,12,12
Eryllium,ERY,0.0012,42.97,-59.83,-79.95,16.42,0,13.663,18111856,,34,4,24,24
Paypex,PAYX,0.0326,15.85,-28.17,-97.83,2.23,41.5,68.429,150000000,0,70,18347,15,15
Energycoin,ENRG,0.0053,,,-84.62,651.72,4.28,122.325,122325446,0,48,4372,57,57
Gapcoin,GAP,0.0078,0,-21.39,-48.71,111.39,0,14.367,14366554,,41,0,51,51
GrandCoin,GDC,7.17E-05,-33.83,-43.57,-67.46,63.4,0,884.126,884125802,,24,10,62,62
Bolenum,BLN,2.22E-06,62.11,-86.93,-99.91,55.44,522.16,25,25000000000,0,54,1302,18,18
FLiK,FLIK,0.0003,-22.84,-39.32,-96.42,18.88,0,60.124,80000000,0,47,14,16,16
The ChampCoin,TCC,0.003,44.24,-20.86,-94.02,515.86,430.23,173.795,196869545,,40,71778,18,18
Nekonium,NUKO,0.0009,-23.92,-56.48,-82.46,10.43,52.77,12.001,21606559,,19,40,14,14
HondaisCoin,HNDC,4.20E-06,1.39,-93.49,-93.49,0,18.74,0,50411959616,,23,31,3,3
Staker,STR,0.0021,-78.59,-84.76,-84.76,2.93,16.25,1.427,2000368,0,32,7,5,5
Equal,EQL,0.001,-6.65,-11.89,-27.55,422.09,342.87,411.455,797107071,0,49,320,12,12
Titcoin,TIT,0.0004,-44.81,-75.52,-91.13,25.43,4.86,64.378,64378197,0,28,23,53,53
TagCoin,TAG,0.0278,3.52,-54.11,-47.31,178.97,45.49,6.434,6433866,0,49,24,63,63
BigUp,BIGUP,4.39E-05,10.17,51.11,-84.73,93.83,21.52,2.138,2137572489,,34,4,35,35
NuBits,USNBT,0.0535,25.62,-47.76,-77.41,587.19,15.62,10.982,70510851,0,40,15415,52,52
Emphy,EPY,0.0203,59.06,-23.8,-62.33,160.25,1.04,7.902,15375000,,30,595,15,15
Joulecoin,XJO,0.0027,-25.41,-45.26,-72.22,101.4,0,37.83,37830499,,24,15,62,62
InflationCoin,IFLT,3.16E-06,58.08,-35.73,-98.74,141.49,97.34,44.79,44790092020,,30,34,25,25
Swing,SWING,0.0166,3.42,-4.72,-64.9,70.17,112.07,4.229,4228800,,39,64,40,40
MyToken,MT,0.0041,185.24,9.18,-64.35,0,926.63,0,4000000000,,44,164319,9,9
SixEleven,611,0.3319,356.73,93.61,87.97,157.33,11.1,474.075,474075,,35,36,33,33
Orbitcoin,ORB,0.2616,159.3,83.51,12.53,842.44,15.52,3.221,3220616,,13,33,62,62
Linx,LINX,0.0022,-44.25,-63.59,-89.01,80.2,127.75,36.265,37264798,0,28,134,20,20
RedCoin,RED,0.0003,-28.82,-50.04,-70.87,19.15,0,74.108,74107896,,34,21,60,60
FairGame,FAIR,0.0033,27.64,-41.83,-64.03,0,2.36,0,1200000000,0,44,313547,13,13
SuperEdge,ECT,8.42E-05,37.7,4.34,4.34,0,191.24,0,2000000000,0,38,961,6,6
MktCoin,MLM,0.0008,-67.43,-80.92,-82.01,962.6,6.43,1.21,2274139410,0,48,4949,12,12
Cashbery Coin,CBC,0.1433,107.62,-69.87,-69.87,9.45,56.49,65.962,90009974,0,51,129266,5,5
Miners' Reward Token,MRT,0.1213,-15.54,42.96,34.08,1.21,5.67,10,10000000,,61,2315,19,19
ERA,ERA,0.0007,-63.33,-78.15,-96.8,0,0,0,6022910,,19,64,18,18
bitUSD,BITUSD,1.02,17.74,2.16,-0.38,4.42,332.39,4.34,4339970,,43,19048,52,52
TeslaCoin,TES,0.0038,-14.53,-70.74,-79.35,294.68,0,78.253,78253457,,13,60,60,60
X-Coin,XCO,0.0045,23.7,34.4,-45.56,55.78,10.26,12.385,12384976,,34,33,47,47
Bitstar,BITS,0.0077,64.4,-1.6,-59.01,156.84,7.74,20.251,20251297,,20,4,57,57
Lendroid Support Token,LST,0.0004,-60.81,-80.2,-91.38,0,1.73,0,1210071487,0,38,542,10,10
Evimeria,EVI,1.27E-05,8.35,-63.51,-63.51,196.93,7.93,15.519,30000000000,,48,2406,5,5
Shadow Token,SHDW,0.0305,79.38,167.21,208.68,213.3,0,7,10000000,0,41,46,18,18
RRCoin,RRC,0.0028,34.54,-26.85,-26.85,0,0,0,1800000000,75,27,6054,6,6
RouletteToken,RLT,0.008,8,-36.95,-83.7,81.55,1.49,10.219,10219788,0,27,1841,21,21
BitMoney,BIT,9.37E-05,-97.17,-99.43,-99.43,7.73,55.17,82.498,87904513,0,58,1208,4,4
Jiyo,JIYOX,6.94E-05,-92.46,-96.61,-99.87,1.08,0,15.588,18286837,0,19,1,14,14
RussiaCoin,RC,0.0244,-30.41,-72.24,-85.72,204.45,0,8.378,8377873,,34,10,37,37
JavaScript Token,JS,0.0007,-74.3,-84.19,-92.78,5.68,1.56,7.992,7991996,,34,4,15,15
EcoCoin,ECO,0.0056,30.34,-52.62,-96.63,6.56,0,1.175,1175905,,34,10,20,20
Animation Vision Cash,AVH,0.0006,-1.4,-22.25,-84.4,0,39.79,0,10000000000,75,44,66571,12,12
UltraNote Coin,XUN,7.90E-05,-35.25,-89.54,-89.54,282.26,43.46,3.572,18946809518,,37,8383,6,6
Truckcoin,TRK,0.0006,-33.32,-34.54,-71.54,139.54,0,236.228,236227553,,24,9,55,55
BitQuark,BTQ,0.0003,-81.48,-68.77,-95.88,3.8,6.38,11.02,11019987,0,19,25,54,54
SACoin,SAC,0.0385,25.11,-96.47,-96.47,0,0,0,200000000,,34,3,6,6
Excaliburcoin,EXC,7.46E-06,-40.35,-74.58,-74.58,0,0,0,65000000000,25,21,75,6,6
NuShares,NSR,0.001,1185,1489,246.8,2.85,9.05,2.778,3134648141,0,34,225,51,51
I0Coin,I0C,0.0111,-31.13,-49.06,-81.52,232.54,0,20.996,20995773,,39,26,62,62
Ccore,CCO,0.0221,-68.1,-66.68,-75.02,37.57,17.28,1.7,10000000,0,43,80,14,14
ShineChain,SHE,0.0067,464.44,276.37,276.37,0,4.03,0,5000000000,0,48,533872,5,5
Olive,OLE,0.0081,160.53,26.13,26.13,2.25,0,277.007,10000000000,0,35,4818,6,6
Condensate,RAIN,0.0002,-71.05,-89.29,-97.39,127.7,48.21,808.074,808073716,,34,135,21,21
BitStation,BSTN,2.48E-05,2.19,-44.53,-96.94,116.67,4.51,4.704,12000000000,25,43,12,10,10
Dollar Online,DOLLAR,0.0024,24.9,-55.4,-81.15,1.85,6.19,753.776,9601412,,34,10,26,26
Asiadigicoin,ADCN,7.15E-05,-80.41,-90.76,-95.68,1.78,0,24.931,210000000,0,41,1718,35,35
C-Bit,XCT,3.46E-05,-14.66,-89.27,-95.76,5.46,0,157.626,157625875,,30,4,35,35
President Trump,PRES,0.0021,-17.42,-27.6,-83.81,0,469.33,0,57968072167,,38,325,30,30
Social Lending Token,SLT,0.0069,77.15,99.47,99.47,0,3.49,0,1000000000,25,41,5967,6,6
SuperCoin,SUPER,0.0011,-68.55,-65.08,-78.44,57.88,0,50.445,50444529,,20,14,56,56
PLNcoin,PLNC,0.0003,-19.12,-75.46,-83.53,5.4,1.89,17.09,19089600,,30,0.8,58,58
TajCoin,TAJ,0.0014,-1.27,-56.52,-86.62,17.19,0.87,12.088,12087888,,34,11,30,30
GUESS,GUESS,0.0008,33.75,-46.72,-58.99,47.83,1.01,60.538,200000000,0,38,33,12,12
NevaCoin,NEVA,0.0073,38.05,-60.96,-83.75,28.24,7.91,3.884,3884180,,19,16,35,35
EthBet,EBET,0.0025,0,-80.05,-89.11,21.63,0,8.505,10000000,0,15,0,16,16
Qwark,QWARK,0.009,-52.13,-59.2,-78.35,600.58,1.36,66.673,206075989,,33,1828,34,34
Purex,PUREX,0.0016,-44,-84.78,-84.78,28.05,1.04,17.752,20220782,,43,34,6,6
HiCoin,XHI,0.0008,291.22,143.33,35.36,3.5,2.13,4.435,10000244678,0,48,2763,33,33
ChessCoin,CHESS,0.0025,127.87,7.38,-36.88,134.19,0,54.033,54032769,,35,24,31,31
BROTHER,BRAT,2.20E-05,-47.84,-91.52,-93.96,3.52,0,160,1000000000,,38,2181,17,17
AsiaCoin,AC,0.0011,-19.4,-53.57,-52.06,2.46,0,2.323,2322794013,,18,3,58,58
OBITS,OBITS,0.0346,-22.12,-60.85,-87.92,529.64,229.83,15.304,15304286,0,57,572,38,38
IrishCoin,IRL,0.0013,70.51,-53.65,-79.17,52.77,7.9,39.285,43785349,,24,9,43,43
FCoin Token,FT,0.016,-1.82,-51.86,-51.86,0,0,0,2510925464,,34,0,3,3
PlatinumBAR,XPTX,0.0539,-18.85,-67.15,-93.77,116.47,0,2.16,2160126,,28,15,33,33
SEER,SEER,0.0004,-51.11,-70.45,-92.92,0,38.32,0,4100000000,0,44,29518,7,7
CryptoPing,PING,0.0215,-44.19,-52.39,-83.86,213.89,269.3,9.952,9952089,,15,22,19,19
2GIVE,2GIVE,0.0005,-72.4,-82.55,-91.6,247.09,98.17,521.188,521187996,0,31,839,33,33
SecureCoin,SRC,0.0016,-46.16,-75.31,-93.6,16,0,10.185,10185141,,30,7,64,64
Signatum,SIGT,0.0006,35.54,-18.5,-52.95,68.25,22.41,107.973,107972766,,20,7,18,18
Influence Chain,INC,0.0149,117.73,-41.35,-88.07,0,428.47,0,1000000000,0,44,117493,9,9
ACChain,ACC,0.0134,-80.78,-84.55,-84.55,0,0,0,,0,23,231,12,12
FirstCoin,FRST,0.0049,8.25,-16.05,-72.41,154.09,92.64,31.208,110000000,,28,66,24,24
Unify,UNIFY,0.0079,91.37,-27.02,-72.12,143.83,2.33,18.185,18185085,,28,1259,19,19
Ethereum Cash,ECASH,0.0063,-42.32,-48.87,-70.89,89.13,58.44,14.1,15000000,,43,44,16,16
HashCoin,HSC,0.0002,2.08,-51.37,-92.81,2.07,48.29,12.864,50000000000,0,52,7281,7,7
Blakecoin,BLC,0.0035,-37.12,-67.09,-74.87,76.78,59.82,22.083,22082528,0,20,21,60,60
ContractNet,CNET,0.0027,-41.92,-86.23,-97.86,0,0,0,23000000,25,36,40,8,8
Fargocoin,FRGC,0.0234,-54.17,-65.57,-85.09,0,252.72,0,529388114,,23,68,25,25
Trollcoin,TROLL,0.0005,-25.31,-33.25,-50.74,278.71,9.57,587.881,587881255,0,32,60,52,52
QubitCoin,Q2C,0.0008,0,-38.99,-47.04,278.84,0,336.345,336344967,,24,0,60,60
LanaCoin,LANA,0.0002,195.28,-10.98,-46.62,250.97,2.77,1.059,1058745475,0,26,51,33,33
First Bitcoin,BIT,0.0077,270.39,22.26,-42.11,0,161.38,0,20707629255,25,34,40,30,30
Zennies,ZENI,0.0002,-44.66,-42.8,-49.64,221.5,17.56,1.001,1000812836,,30,3,22,22
Rimbit,RBT,0.0005,-3.84,-20.39,-67.07,100.61,16.72,197.581,401578118,,43,10,51,51
Bitcoin Red,BTCRED,0.0041,36.95,-26.9,-60.64,84.62,41.44,20.55,21000000,,46,102,15,15
YOU COIN,YOU,0.0268,477.04,335.85,335.85,0,3.84,0,2736000000,,44,138558,6,6
Content and AD Network,CAN,0.0012,-18.57,-54.01,-89.99,0,15.98,0,1500000000,0,41,1170,13,13
Honey,HONEY,0.0229,-71.23,-88.02,-72.12,10.46,9.66,455.955,455955,,43,18,23,23
Iconic,ICON,0.0133,-7.76,-61.16,-79.58,7.87,24.55,592.894,592894,,34,4,24,24
Relex,RLX,0.0003,-34.9,-87.69,-87.69,441.33,5.4,1.725,2000000000,0,35,9180,6,6
Mao Zedong,MAO,0.0717,76.06,35.65,12.28,454.12,0,6.337,6337424,,30,576,18,18
Triangles,TRI,0.5279,-31.67,-57.33,-79.36,68.39,0,129.539,129539,,24,12,55,55
ValueCyberToken,VCT,0.0138,23.54,-32.3,-32.3,1.49,249.33,107.837,1000000000,25,34,216188,6,6
Bastonet,BSN,3.27E-06,-14.07,-69.05,-95.6,0,76.12,0,50000000,0,47,25,16,16
AltCommunity Coin,SONO,0.0138,-59.84,-83.69,-83.69,23.47,23.67,1.697,1697175,0,23,77,15,15
Coin(O),CNO,0.0003,-64.43,-65.68,-69.74,35.04,0,105.462,105461778,,28,36,59,59
CoinonatX,XCXT,0.0003,-34.03,-88.62,-94.27,6.18,2.9,19.54,19539588,,19,4,18,18
SaluS,SLS,13.43,42.05,-34.29,-45.98,13.59,704.08,1.012,1012265,0,63,38087,36,36
Haracoin,HRC,0.0004,-96.09,-97.68,-97.68,0,401.07,0,9888789343,25,36,1479,6,6
Atmos,ATMOS,0.0059,-17.11,-71.51,-77.97,599.25,0,100.819,110818941,,36,26,22,22
HunterCoin,HUC,0.0037,-71.15,-89.12,-94.34,88.26,15.83,23.762,23761750,0,31,839,60,60
MojoCoin,MOJO,0.0021,34.32,-69.02,-88.1,26.19,273.61,12.277,12276850,,15,0.5667,34,34
ZTCoin,ZT,0.0496,-12.15,-48.97,-48.97,0,0,0,500000000,,34,0,3,3
Quebecoin,QBC,0.0019,57.72,-47.59,-61.21,29.57,211.71,15.589,36375376,,15,3,57,57
Experience Token,EXT,6.05E-05,-51.24,-80.65,-80.65,0,37.84,0,10000000000,0,57,53745,6,6
BetaCoin,BET,0.0017,121.95,45.58,20.39,0,0,0,,,34,28,62,62
GIGA,XG,6.93E-05,69.85,7.55,7.55,0,0,0,465801442,,19,2,4,4
Bitswift,BITS,0.0669,-33.21,-51.58,-79.4,259.97,108.49,3.885,3884635,0,44,2123,52,52
DeltaChain,DELTA,5.72E-06,-8.4,-61.18,-61.18,33.73,115.11,5.895,7500000000,,26,9928,5,5
Acoin,ACOIN,0.0217,90,-15.79,-77.17,26.47,0,1.22,1220085,,19,0.3667,53,53
bitCNY,BITCNY,0.1447,-7.71,0.34,0.34,11.08,557.11,76.566,76565900,,46,28116940,52,52
Theresa May Coin,MAY,0.0003,100.33,0.33,-64.83,32.22,0,100.018,100018000,,19,40,20,20
