Name,Start Date,End Date,Soft Cap,Hard Cap,Funds Raised,Amount of Tokens at ICO,Consensus Mechanisms,Purpose,Type,Platform,On Exchanges?,Market Price,Market Volume,Market Cap,Circulating Supply,Bullish vs. Bearish Sentiment,Popularity
Crazy Shapes (CZC),10/4/2017,1/3/2018,,,,,,,,,,,,,,,
Startima (STAT),10/22/2017,1/3/2018,,,,,,,,,,,,,,,
TableCoin (TAC),10/11/2017,1/2/2018,,,,,,,,,,,,,,,
Asset Token ERC20 (AST),8/31/2017,1/1/2018,,,,,,,,,,,,,,,
Bazista (BZS),11/16/2017,1/1/2018,,,,,,,,,,,,,,,
Charg Coin (CHARG),11/16/2017,1/1/2018,,,,,,,,,,,,,,,
Climatecoin (CO2),10/22/2017,1/1/2018,,,,,,,,,,,,,,,
Crowdholding (YUP),10/31/2017,1/1/2018,,,,,,,,,,,,,,,
Crypto Improvement Fund (CIF),9/30/2017,1/1/2018,,,,,,,,,,,,,,,
MoneyTree (TREE),10/23/2017,1/1/2018,,,,,,,,,,,,,,,
Vevue (VUE),10/27/2017,1/1/2018,,,,,,,,,,,,,,,
“I am” by Infobeing (IAM),11/23/2017,12/31/2017,,,,,,,,,,,,,,,
Ananas (ANA),11/20/2017,12/31/2017,,,,,,,,,,,,,,,
Aurora (DVIP),12/4/2017,12/31/2017,,,,,,,,,,,,,,,
BBiller (BBR),8/13/2017,12/31/2017,,,,,,,,,,,,,,,
beeqb (BEQB),10/31/2017,12/31/2017,,,,,,,,,,,,,,,
BitDegree (BDG),12/1/2017,12/31/2017,,,,,,,,,,,,,,,
Bounty0x (BNTY),12/15/2017,12/31/2017,,,,,,,,,,,,,,,
ChainTrade (CTC),10/8/2017,12/31/2017,,,,,,,,,,,,,,,
Cryptonetix (CNX),11/15/2017,12/31/2017,,,,,,,,,,,,,,,
Datarius Cryptobank (DTRC),12/12/2017,12/31/2017,,,,,,,,,,,,,,,
FamilyPoints (FPT),12/1/2017,12/31/2017,,,,,,,,,,,,,,,
Flux (FLUX),12/1/2017,12/31/2017,,,,,,,,,,,,,,,
HealthHeart (HHT),12/1/2017,12/31/2017,,,,,,,,,,,,,,,
LinkerCoin Project (LNC),10/20/2017,12/31/2017,,,,,,,,,,,,,,,
LOCICoin (LOCI),12/8/2017,12/31/2017,,,,,,,,,,,,,,,
LookRev (LOK),9/7/2017,12/31/2017,,,,,,,,,,,,,,,
MAD Network (MAD),11/30/2017,12/31/2017,,,,,,,,,,,,,,,
NetCents Coin (NCCO),10/30/2017,12/31/2017,,,,,,,,,,,,,,,
Open Source University (EDU),11/20/2017,12/31/2017,,,,,,,,,,,,,,,
PlusCoin (PLC),9/25/2017,12/31/2017,,,,,,,,,,,,,,,
Rate ICO (STR),12/10/2017,12/31/2017,,,,,,,,,,,,,,,
Sharpe Capital (SHP),11/6/2017,12/31/2017,,,,,,,,,,,,,,,
Solar Bankers (SUN),11/22/2017,12/31/2017,,,,,,,,,,,,,,,
SPiCE VC (SPX),11/28/2017,12/31/2017,,,,,,,,,,,,,,,
Spotree (SPT),9/10/2017,12/31/2017,,,,,,,,,,,,,,,
StockBet (XSB),10/28/2017,12/31/2017,,,,,,,,,,,,,,,
Tokenlab (LAB),9/30/2017,12/31/2017,,,,,,,,,,,,,,,
Vector (VCTR),12/8/2017,12/31/2017,,,,,,,,,,,,,,,
Arker (ARKER),11/10/2017,12/30/2017,,,,,,,,,,,,,,,
Bloom (BLT),11/30/2017,12/30/2017,,,,,,,,,,,,,,,
Carblox (CRX),10/29/2017,12/30/2017,,,,,,,,,,,,,,,
DCX (DCX),11/30/2017,12/30/2017,,,,,,,,,,,,,,,
e-Chat (ECHT),11/16/2017,12/30/2017,,,,,,,,,,,,,,,
Exxor (EXX),10/11/2017,12/30/2017,,,,,,,,,,,,,,,
Finom (FIN),11/19/2017,12/30/2017,,,,,,,,,,,,,,,
Measurable Data Token (MDT),11/30/2017,12/30/2017,,,,,,,,,,,,,,,
Retainly (RET),12/7/2017,12/30/2017,,,,,,,,,,,,,,,
R_Block (CVT),12/20/2017,12/30/2017,,,,,,,,,,,,,,,
SpaceICO (SIO),10/14/2017,12/30/2017,,,,,,,,,,,,,,,
SqPay (SQP),11/1/2017,12/30/2017,,,,,,,,,,,,,,,
TurboGpu (TGS),10/31/2017,12/30/2017,,,,,,,,,,,,,,,
VapeCoin (VPC),10/22/2017,12/30/2017,,,,,,,,,,,,,,,
xСhainge (XCT),12/5/2017,12/30/2017,,,,,,,,,,,,,,,
Zen Protocol (ZEN),11/30/2017,12/30/2017,,,,,,,,,,,,,,,
BitClave – main sale (CAT),11/29/2017,12/29/2017,,,,,,,,,,,,,,,
CoinLoan (CLT),11/26/2017,12/29/2017,,,,,,,,,,,,,,,
DAO PlayMarket 2.0 (PMT),11/8/2017,12/29/2017,,,,,,,,,,,,,,,
Eristica (ERT),12/7/2017,12/29/2017,,,,,,,,,,,,,,,
GuideCTF (GCTF),10/4/2017,12/29/2017,,,,,,,,,,,,,,,
NAU (NAU),10/31/2017,12/29/2017,,,,,,,,,,,,,,,
SingularityNET (AGI),12/8/2017,12/29/2017,,,,,,,,,,,,,,,
Spectiv (SIG),12/8/2017,12/29/2017,,,,,,,,,,,,,,,
Verify (CRED),11/29/2017,12/29/2017,,,,,,,,,,,,,,,
Bankex (BKX),11/28/2017,12/28/2017,,,,,,,,,,,,,,,
BMCHAIN (BMT),9/9/2017,12/28/2017,,,,,,,,,,,,,,,
MARK.SPACE (MRK),10/30/2017,12/28/2017,,,,,,,,,,,,,,,
Decentralized Escrow (DES),11/29/2017,12/27/2017,,,,,,,,,,,,,,,
SilentNotary (SNTR),12/13/2017,12/27/2017,,,,,,,,,,,,,,,
TradePlayz (TPZ),12/20/2017,12/27/2017,,,,,,,,,,,,,,,
BitCoen (BEN),11/28/2017,12/26/2017,,,,,,,,,,,,,,,
CanYa (CAN),11/26/2017,12/26/2017,,,,,,,,,,,,,,,
